id,requested_url,checked_at_utc,status,final_url,title_values,h1_values,meta_description_values,canonical_values,meta_robots,x_robots_tag,fetch_error
PG-062,https://pianogrid.com/chords/b-maj7,2026-09-24T23:53:46.332859+00:00,200,https://pianogrid.com/chords/b-maj7,"[""Bmaj7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Bmaj7 Chord""]","[""Learn the Bmaj7 chord on piano: B, D♯, F♯ and A♯. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/b-maj7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-063,https://pianogrid.com/chords/c-sus4,2026-09-24T23:53:47.396016+00:00,200,https://pianogrid.com/chords/c-sus4,"[""Csus4 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Csus4 Chord""]","[""Learn the Csus4 chord on piano: C, F and G. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/c-sus4""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-064,https://pianogrid.com/chords/e-sus4,2026-09-24T23:53:47.638668+00:00,200,https://pianogrid.com/chords/e-sus4,"[""Esus4 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Esus4 Chord""]","[""Learn the Esus4 chord on piano: E, A and B. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/e-sus4""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-065,https://pianogrid.com/chords/a-flat-diminished,2026-09-24T23:53:48.866279+00:00,200,https://pianogrid.com/chords/a-flat-diminished,"[""A♭ Diminished Piano Chord (A♭dim): Notes & Inversions""]","[""A♭ Diminished Piano Chord""]","[""Find the a♭ diminished chord on piano: A♭, C♭, E𝄫. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/a-flat-diminished""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-066,https://pianogrid.com/chords/b-flat-maj7,2026-09-24T23:53:49.091836+00:00,200,https://pianogrid.com/chords/b-flat-maj7,"[""B♭maj7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""B♭maj7 Chord""]","[""Learn the B♭maj7 chord on piano: B♭, D, F and A. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/b-flat-maj7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-067,https://pianogrid.com/chords/e-flat-maj7,2026-09-24T23:53:50.412019+00:00,200,https://pianogrid.com/chords/e-flat-maj7,"[""E♭maj7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""E♭maj7 Chord""]","[""Learn the E♭maj7 chord on piano: E♭, G, B♭ and D. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/e-flat-maj7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-068,https://pianogrid.com/chords/f-sus2,2026-09-24T23:53:50.520437+00:00,200,https://pianogrid.com/chords/f-sus2,"[""Fsus2 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Fsus2 Chord""]","[""Learn the Fsus2 chord on piano: F, G and C. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/f-sus2""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-069,https://pianogrid.com/chords/g-add9,2026-09-24T23:53:51.959887+00:00,200,https://pianogrid.com/chords/g-add9,"[""Gadd9 Piano Chord: Notes, Voicings & Practice | PianoGrid""]","[""Gadd9 Piano Chord""]","[""Find Gadd9 notes (G, B, D, A), compare two keyboard layouts, hear each one and practise chord tones or an exact voicing.""]","[""https://pianogrid.com/chords/g-add9""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-070,https://pianogrid.com/chords/g-sus2,2026-09-24T23:53:52.101384+00:00,200,https://pianogrid.com/chords/g-sus2,"[""Gsus2 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Gsus2 Chord""]","[""Learn the Gsus2 chord on piano: G, A and D. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/g-sus2""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-071,https://pianogrid.com/chords/a-flat-maj7,2026-09-24T23:53:53.423958+00:00,200,https://pianogrid.com/chords/a-flat-maj7,"[""A♭maj7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""A♭maj7 Chord""]","[""Learn the A♭maj7 chord on piano: A♭, C, E♭ and G. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/a-flat-maj7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-072,https://pianogrid.com/chords/b-flat-m7,2026-09-24T23:53:53.540102+00:00,200,https://pianogrid.com/chords/b-flat-m7,"[""B♭m7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""B♭m7 Chord""]","[""Learn the B♭m7 chord on piano: B♭, D♭, F and A♭. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/b-flat-m7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-073,https://pianogrid.com/chords/b-sus4,2026-09-24T23:53:54.953849+00:00,200,https://pianogrid.com/chords/b-sus4,"[""Bsus4 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Bsus4 Chord""]","[""Learn the Bsus4 chord on piano: B, E and F♯. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/b-sus4""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-074,https://pianogrid.com/chords/d-add9,2026-09-24T23:53:55.163871+00:00,200,https://pianogrid.com/chords/d-add9,"[""Dadd9 Piano Chord: Notes, Voicings & Practice | PianoGrid""]","[""Dadd9 Piano Chord""]","[""Find Dadd9 notes (D, F♯, A, E), compare two keyboard layouts, hear each one and practise chord tones or an exact voicing.""]","[""https://pianogrid.com/chords/d-add9""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-075,https://pianogrid.com/chords/e-flat-m7,2026-09-24T23:53:56.423139+00:00,200,https://pianogrid.com/chords/e-flat-m7,"[""E♭m7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""E♭m7 Chord""]","[""Learn the E♭m7 chord on piano: E♭, G♭, B♭ and D♭. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/e-flat-m7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-076,https://pianogrid.com/chords/b-m7-flat5,2026-09-24T23:53:56.786957+00:00,200,https://pianogrid.com/chords/b-m7-flat5,"[""B Half-Diminished Chord (Bm7♭5): Piano Notes, Inversions, Sound & PDF""]","[""B Half-Diminished Chord (Bm7♭5)""]","[""Learn the B Half-Diminished Chord (Bm7♭5) on piano: B, D, F and A. See keyboard diagrams, explore inversions and hear the chord.""]","[""https://pianogrid.com/chords/b-m7-flat5""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-077,https://pianogrid.com/chords/b-sus2,2026-09-24T23:53:57.749716+00:00,200,https://pianogrid.com/chords/b-sus2,"[""Bsus2 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Bsus2 Chord""]","[""Learn the Bsus2 chord on piano: B, C♯ and F♯. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/b-sus2""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-078,https://pianogrid.com/chords/d-m7-flat5,2026-09-24T23:53:58.105851+00:00,200,https://pianogrid.com/chords/d-m7-flat5,"[""D Half-Diminished Chord (Dm7♭5): Piano Notes, Inversions, Sound & PDF""]","[""D Half-Diminished Chord (Dm7♭5)""]","[""Learn the D Half-Diminished Chord (Dm7♭5) on piano: D, F, A♭ and C. See keyboard diagrams, explore inversions and hear the chord.""]","[""https://pianogrid.com/chords/d-m7-flat5""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-079,https://pianogrid.com/chords/a-add9,2026-09-24T23:53:59.117831+00:00,200,https://pianogrid.com/chords/a-add9,"[""Aadd9 Piano Chord: Notes, Voicings & Practice | PianoGrid""]","[""Aadd9 Piano Chord""]","[""Find Aadd9 notes (A, C♯, E, B), compare two keyboard layouts, hear each one and practise chord tones or an exact voicing.""]","[""https://pianogrid.com/chords/a-add9""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-080,https://pianogrid.com/chords/b-flat-augmented,2026-09-24T23:53:59.709505+00:00,200,https://pianogrid.com/chords/b-flat-augmented,"[""B♭ Augmented Piano Chord (B♭aug): Notes & Inversions | PianoGrid""]","[""B♭ Augmented Piano Chord""]","[""Find the b♭ augmented chord on piano: B♭, D, F♯. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/b-flat-augmented""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-081,https://pianogrid.com/chords/d-flat-diminished,2026-09-24T23:54:00.444587+00:00,200,https://pianogrid.com/chords/d-flat-diminished,"[""D♭ Diminished Piano Chord (D♭dim): Notes & Inversions""]","[""D♭ Diminished Piano Chord""]","[""Find the d♭ diminished chord on piano: D♭, F♭, A𝄫. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/d-flat-diminished""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-082,https://pianogrid.com/chords/e-sus2,2026-09-24T23:54:01.252436+00:00,200,https://pianogrid.com/chords/e-sus2,"[""Esus2 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Esus2 Chord""]","[""Learn the Esus2 chord on piano: E, F♯ and B. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/e-sus2""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-083,https://pianogrid.com/chords/f-sharp-maj7,2026-09-24T23:54:01.971601+00:00,200,https://pianogrid.com/chords/f-sharp-maj7,"[""F♯maj7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""F♯maj7 Chord""]","[""Learn the F♯maj7 chord on piano: F♯, A♯, C♯ and E♯. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/f-sharp-maj7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-084,https://pianogrid.com/chords/e-flat-augmented,2026-09-24T23:54:02.706958+00:00,200,https://pianogrid.com/chords/e-flat-augmented,"[""E♭ Augmented Piano Chord (E♭aug): Notes & Inversions | PianoGrid""]","[""E♭ Augmented Piano Chord""]","[""Find the e♭ augmented chord on piano: E♭, G, B. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/e-flat-augmented""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-085,https://pianogrid.com/chords/a-flat-m7,2026-09-24T23:54:03.539884+00:00,200,https://pianogrid.com/chords/a-flat-m7,"[""A♭m7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""A♭m7 Chord""]","[""Learn the A♭m7 chord on piano: A♭, C♭, E♭ and G♭. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/a-flat-m7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-086,https://pianogrid.com/chords/a-m7-flat5,2026-09-24T23:54:04.145242+00:00,200,https://pianogrid.com/chords/a-m7-flat5,"[""A Half-Diminished Chord (Am7♭5): Piano Notes, Inversions, Sound & PDF""]","[""A Half-Diminished Chord (Am7♭5)""]","[""Learn the A Half-Diminished Chord (Am7♭5) on piano: A, C, E♭ and G. See keyboard diagrams, explore inversions and hear the chord.""]","[""https://pianogrid.com/chords/a-m7-flat5""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-087,https://pianogrid.com/chords/a-flat-augmented,2026-09-24T23:54:05.117072+00:00,200,https://pianogrid.com/chords/a-flat-augmented,"[""A♭ Augmented Piano Chord (A♭aug): Notes & Inversions | PianoGrid""]","[""A♭ Augmented Piano Chord""]","[""Find the a♭ augmented chord on piano: A♭, C, E. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/a-flat-augmented""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-088,https://pianogrid.com/chords/d-flat-maj7,2026-09-24T23:54:05.606458+00:00,200,https://pianogrid.com/chords/d-flat-maj7,"[""D♭maj7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""D♭maj7 Chord""]","[""Learn the D♭maj7 chord on piano: D♭, F, A♭ and C. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/d-flat-maj7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-089,https://pianogrid.com/chords/e-add9,2026-09-24T23:54:06.632966+00:00,200,https://pianogrid.com/chords/e-add9,"[""Eadd9 Piano Chord: Notes, Voicings & Practice | PianoGrid""]","[""Eadd9 Piano Chord""]","[""Find Eadd9 notes (E, G♯, B, F♯), compare two keyboard layouts, hear each one and practise chord tones or an exact voicing.""]","[""https://pianogrid.com/chords/e-add9""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-090,https://pianogrid.com/chords/a-flat-m7-flat5,2026-09-24T23:54:07.107163+00:00,200,https://pianogrid.com/chords/a-flat-m7-flat5,"[""A♭ Half-Diminished Chord (A♭m7♭5): Piano Notes, Inversions, Sound & PDF""]","[""A♭ Half-Diminished Chord (A♭m7♭5)""]","[""Learn the A♭ Half-Diminished Chord (A♭m7♭5) on piano: A♭, C♭, E𝄫 and G♭. See keyboard diagrams, explore inversions and hear the chord.""]","[""https://pianogrid.com/chords/a-flat-m7-flat5""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-091,https://pianogrid.com/chords/a-flat-sus2,2026-09-24T23:54:08.130923+00:00,200,https://pianogrid.com/chords/a-flat-sus2,"[""A♭sus2 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""A♭sus2 Chord""]","[""Learn the A♭sus2 chord on piano: A♭, B♭ and E♭. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/a-flat-sus2""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-092,https://pianogrid.com/chords/a-flat-sus4,2026-09-24T23:54:08.695315+00:00,200,https://pianogrid.com/chords/a-flat-sus4,"[""A♭sus4 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""A♭sus4 Chord""]","[""Learn the A♭sus4 chord on piano: A♭, D♭ and E♭. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/a-flat-sus4""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-093,https://pianogrid.com/chords/b-add9,2026-09-24T23:54:09.505365+00:00,200,https://pianogrid.com/chords/b-add9,"[""Badd9 Piano Chord: Notes, Voicings & Practice | PianoGrid""]","[""Badd9 Piano Chord""]","[""Find Badd9 notes (B, D♯, F♯, C♯), compare two keyboard layouts, hear each one and practise chord tones or an exact voicing.""]","[""https://pianogrid.com/chords/b-add9""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-094,https://pianogrid.com/chords/b-flat-add9,2026-09-24T23:54:10.247774+00:00,200,https://pianogrid.com/chords/b-flat-add9,"[""B♭add9 Piano Chord: Notes, Voicings & Practice | PianoGrid""]","[""B♭add9 Piano Chord""]","[""Find B♭add9 notes (B♭, D, F, C), compare two keyboard layouts, hear each one and practise chord tones or an exact voicing.""]","[""https://pianogrid.com/chords/b-flat-add9""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-095,https://pianogrid.com/chords/b-flat-m7-flat5,2026-09-24T23:54:11.138543+00:00,200,https://pianogrid.com/chords/b-flat-m7-flat5,"[""B♭ Half-Diminished Chord (B♭m7♭5): Piano Notes, Inversions, Sound & PDF""]","[""B♭ Half-Diminished Chord (B♭m7♭5)""]","[""Learn the B♭ Half-Diminished Chord (B♭m7♭5) on piano: B♭, D♭, F♭ and A♭. See keyboard diagrams, explore inversions and hear the chord.""]","[""https://pianogrid.com/chords/b-flat-m7-flat5""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-096,https://pianogrid.com/chords/b-flat-sus2,2026-09-24T23:54:11.655161+00:00,200,https://pianogrid.com/chords/b-flat-sus2,"[""B♭sus2 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""B♭sus2 Chord""]","[""Learn the B♭sus2 chord on piano: B♭, C and F. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/b-flat-sus2""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-097,https://pianogrid.com/chords/b-flat-sus4,2026-09-24T23:54:12.387508+00:00,200,https://pianogrid.com/chords/b-flat-sus4,"[""B♭sus4 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""B♭sus4 Chord""]","[""Learn the B♭sus4 chord on piano: B♭, E♭ and F. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/b-flat-sus4""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-098,https://pianogrid.com/chords/c-m7-flat5,2026-09-24T23:54:13.236361+00:00,200,https://pianogrid.com/chords/c-m7-flat5,"[""C Half-Diminished Chord (Cm7♭5): Piano Notes, Inversions, Sound & PDF""]","[""C Half-Diminished Chord (Cm7♭5)""]","[""Learn the C Half-Diminished Chord (Cm7♭5) on piano: C, E♭, G♭ and B♭. See keyboard diagrams, explore inversions and hear the chord.""]","[""https://pianogrid.com/chords/c-m7-flat5""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-099,https://pianogrid.com/chords/d-flat-augmented,2026-09-24T23:54:13.951960+00:00,200,https://pianogrid.com/chords/d-flat-augmented,"[""D♭ Augmented Piano Chord (D♭aug): Notes & Inversions | PianoGrid""]","[""D♭ Augmented Piano Chord""]","[""Find the d♭ augmented chord on piano: D♭, F, A. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/d-flat-augmented""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-100,https://pianogrid.com/chords/d-flat-m7,2026-09-24T23:54:14.764580+00:00,200,https://pianogrid.com/chords/d-flat-m7,"[""D♭m7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""D♭m7 Chord""]","[""Learn the D♭m7 chord on piano: D♭, F♭, A♭ and C♭. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/d-flat-m7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-101,https://pianogrid.com/chords/d-madd9,2026-09-24T23:54:15.317356+00:00,200,https://pianogrid.com/chords/d-madd9,"[""Dm(add9) Piano Chord: Notes, Voicings & Practice | PianoGrid""]","[""Dm(add9) Piano Chord""]","[""Find Dm(add9) notes (D, F, A, E), compare two keyboard layouts, hear each one and practise chord tones or an exact voicing.""]","[""https://pianogrid.com/chords/d-madd9""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-102,https://pianogrid.com/chords/e-flat-add9,2026-09-24T23:54:16.316581+00:00,200,https://pianogrid.com/chords/e-flat-add9,"[""E♭add9 Piano Chord: Notes, Voicings & Practice | PianoGrid""]","[""E♭add9 Piano Chord""]","[""Find E♭add9 notes (E♭, G, B♭, F), compare two keyboard layouts, hear each one and practise chord tones or an exact voicing.""]","[""https://pianogrid.com/chords/e-flat-add9""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-103,https://pianogrid.com/chords/e-flat-m7-flat5,2026-09-24T23:54:16.595337+00:00,200,https://pianogrid.com/chords/e-flat-m7-flat5,"[""E♭ Half-Diminished Chord (E♭m7♭5): Piano Notes, Inversions, Sound & PDF""]","[""E♭ Half-Diminished Chord (E♭m7♭5)""]","[""Learn the E♭ Half-Diminished Chord (E♭m7♭5) on piano: E♭, G♭, B𝄫 and D♭. See keyboard diagrams, explore inversions and hear the chord.""]","[""https://pianogrid.com/chords/e-flat-m7-flat5""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-104,https://pianogrid.com/chords/e-flat-sus2,2026-09-24T23:54:17.790456+00:00,200,https://pianogrid.com/chords/e-flat-sus2,"[""E♭sus2 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""E♭sus2 Chord""]","[""Learn the E♭sus2 chord on piano: E♭, F and B♭. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/e-flat-sus2""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-105,https://pianogrid.com/chords/e-flat-sus4,2026-09-24T23:54:18.063386+00:00,200,https://pianogrid.com/chords/e-flat-sus4,"[""E♭sus4 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""E♭sus4 Chord""]","[""Learn the E♭sus4 chord on piano: E♭, A♭ and B♭. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/e-flat-sus4""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-106,https://pianogrid.com/chords/e-m7-flat5,2026-09-24T23:54:19.319561+00:00,200,https://pianogrid.com/chords/e-m7-flat5,"[""E Half-Diminished Chord (Em7♭5): Piano Notes, Inversions, Sound & PDF""]","[""E Half-Diminished Chord (Em7♭5)""]","[""Learn the E Half-Diminished Chord (Em7♭5) on piano: E, G, B♭ and D. See keyboard diagrams, explore inversions and hear the chord.""]","[""https://pianogrid.com/chords/e-m7-flat5""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-107,https://pianogrid.com/chords/e-madd9,2026-09-24T23:54:19.569256+00:00,200,https://pianogrid.com/chords/e-madd9,"[""Em(add9) Piano Chord: Notes, Voicings & Practice | PianoGrid""]","[""Em(add9) Piano Chord""]","[""Find Em(add9) notes (E, G, B, F♯), compare two keyboard layouts, hear each one and practise chord tones or an exact voicing.""]","[""https://pianogrid.com/chords/e-madd9""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-108,https://pianogrid.com/chords/f-m7-flat5,2026-09-24T23:54:21.018325+00:00,200,https://pianogrid.com/chords/f-m7-flat5,"[""F Half-Diminished Chord (Fm7♭5): Piano Notes, Inversions, Sound & PDF""]","[""F Half-Diminished Chord (Fm7♭5)""]","[""Learn the F Half-Diminished Chord (Fm7♭5) on piano: F, A♭, C♭ and E♭. See keyboard diagrams, explore inversions and hear the chord.""]","[""https://pianogrid.com/chords/f-m7-flat5""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-109,https://pianogrid.com/chords/f-sharp-augmented,2026-09-24T23:54:21.098210+00:00,200,https://pianogrid.com/chords/f-sharp-augmented,"[""F♯ Augmented Piano Chord (F♯aug): Notes & Inversions | PianoGrid""]","[""F♯ Augmented Piano Chord""]","[""Find the f♯ augmented chord on piano: F♯, A♯, C𝄪. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/f-sharp-augmented""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-110,https://pianogrid.com/chords/f-sharp-m7-flat5,2026-09-24T23:54:22.177190+00:00,200,https://pianogrid.com/chords/f-sharp-m7-flat5,"[""F♯ Half-Diminished Chord (F♯m7♭5): Piano Notes, Inversions, Sound & PDF""]","[""F♯ Half-Diminished Chord (F♯m7♭5)""]","[""Learn the F♯ Half-Diminished Chord (F♯m7♭5) on piano: F♯, A, C and E. See keyboard diagrams, explore inversions and hear the chord.""]","[""https://pianogrid.com/chords/f-sharp-m7-flat5""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-111,https://pianogrid.com/chords/f-sus4,2026-09-24T23:54:22.480296+00:00,200,https://pianogrid.com/chords/f-sus4,"[""Fsus4 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Fsus4 Chord""]","[""Learn the Fsus4 chord on piano: F, B♭ and C. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/f-sus4""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-112,https://pianogrid.com/chords/g-m7-flat5,2026-09-24T23:54:23.727531+00:00,200,https://pianogrid.com/chords/g-m7-flat5,"[""G Half-Diminished Chord (Gm7♭5): Piano Notes, Inversions, Sound & PDF""]","[""G Half-Diminished Chord (Gm7♭5)""]","[""Learn the G Half-Diminished Chord (Gm7♭5) on piano: G, B♭, D♭ and F. See keyboard diagrams, explore inversions and hear the chord.""]","[""https://pianogrid.com/chords/g-m7-flat5""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-113,https://pianogrid.com/chords/a-madd9,2026-09-24T23:54:23.771524+00:00,200,https://pianogrid.com/chords/a-madd9,"[""Am(add9) Piano Chord: Notes, Voicings & Practice | PianoGrid""]","[""Am(add9) Piano Chord""]","[""Find Am(add9) notes (A, C, E, B), compare two keyboard layouts, hear each one and practise chord tones or an exact voicing.""]","[""https://pianogrid.com/chords/a-madd9""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-114,https://pianogrid.com/chords/f-madd9,2026-09-24T23:54:25.275232+00:00,200,https://pianogrid.com/chords/f-madd9,"[""Fm(add9) Piano Chord: Notes, Voicings & Practice | PianoGrid""]","[""Fm(add9) Piano Chord""]","[""Find Fm(add9) notes (F, A♭, C, G), compare two keyboard layouts, hear each one and practise chord tones or an exact voicing.""]","[""https://pianogrid.com/chords/f-madd9""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-115,https://pianogrid.com/chords/f-sharp-sus4,2026-09-24T23:54:25.374371+00:00,200,https://pianogrid.com/chords/f-sharp-sus4,"[""F♯sus4 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""F♯sus4 Chord""]","[""Learn the F♯sus4 chord on piano: F♯, B and C♯. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/f-sharp-sus4""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-116,https://pianogrid.com/chords/g-madd9,2026-09-24T23:54:26.730884+00:00,200,https://pianogrid.com/chords/g-madd9,"[""Gm(add9) Piano Chord: Notes, Voicings & Practice | PianoGrid""]","[""Gm(add9) Piano Chord""]","[""Find Gm(add9) notes (G, B♭, D, A), compare two keyboard layouts, hear each one and practise chord tones or an exact voicing.""]","[""https://pianogrid.com/chords/g-madd9""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-117,https://pianogrid.com/chords/a-flat-add9,2026-09-24T23:54:28.911263+00:00,200,https://pianogrid.com/chords/a-flat-add9,"[""A♭add9 Piano Chord: Notes, Voicings & Practice | PianoGrid""]","[""A♭add9 Piano Chord""]","[""Find A♭add9 notes (A♭, C, E♭, B♭), compare two keyboard layouts, hear each one and practise chord tones or an exact voicing.""]","[""https://pianogrid.com/chords/a-flat-add9""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
