关键词ID	关键词（原规范词）	搜索量（US原值）	原清洗状态	建议URL	URL ID	优先级	URL处理状态	与URL主词关系	原任务组ID	原页面代表词	原归并关系	原分类	URL分类	搜索意图分组	同页分区	KD	CPC_USD	原工具Intent	原搜索量状态	原来源类型	原来源记录ID	原来源位置	原始拼写	原翻译/纠错记录	原清洗依据	本次URL判断依据	本版交付状态	本版页面模板	本版必须交付
K0402	piano chord sequences	720	保留	/chord-progressions	U087	后做	有规划URL	URL主词的原同义词	P173	piano chord progressions	同义词合并	chord_progressions	chord_progressions	查和弦走向		22	1.55	I	Semrush US原词估算	Semrush US 单词数据	S0363	piano_keyword_research_combined.xlsx｜关键词数据!A368:G368	piano chord sequences		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	按页面准备顺序验收	T10	常见走向列表；C/E/A调转写选择；优美/愉快效果标签；含义与使用说明；打印
K0403	piano chords in e	720	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P160	piano chords in e	页面代表词	chords	chords	查调内和弦	e-major	18	1.25	I	Semrush US原词估算	Semrush US 单词数据	S0364	piano_keyword_research_combined.xlsx｜关键词数据!A369:G369	piano chords in e		同义表达；保留全部来源	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查E大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K0404	piano chords in key of g	720	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P156	chords in g major scale piano	同义词合并	chords	chords	查调内和弦	g-major	22	0	I	Semrush US原词估算	Semrush US 单词数据	S0365	piano_keyword_research_combined.xlsx｜关键词数据!A370:G370	piano chords in key of g		同义表达；保留全部来源	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查G大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K0413	piano progressions	720	保留	/chord-progressions	U087	后做	有规划URL	URL主词的原同义词	P173	piano chord progressions	同义词合并	chord_progressions	chord_progressions	查和弦走向		20	1.18	I	Semrush US原词估算	Semrush US 单词数据	S0366	piano_keyword_research_combined.xlsx｜关键词数据!A371:G371	piano progressions		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	按页面准备顺序验收	T10	常见走向列表；C/E/A调转写选择；优美/愉快效果标签；含义与使用说明；打印
K0430	a chord on piano	590	保留	/chords/a-major	U076	先做	有规划URL	URL主词的原同义词	P149	a chord piano	同义词合并	chords	chords	查和弦键位		11	0.58	I	Semrush US原词估算	Semrush US 单词数据	S0368	piano_keyword_research_combined.xlsx｜关键词数据!A373:G373	a chord on piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0433	all chords on a piano	590	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		30	3.07	I	Semrush US原词估算	Semrush US 单词数据	S0369	piano_keyword_research_combined.xlsx｜关键词数据!A374:G374	all chords on a piano		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K0434	b chord on piano	590	保留	/chords/b-major	U077	后做	有规划URL	URL主词的原同义词	P150	b chord piano	同义词合并	chords	chords	查和弦键位		17	0	I	Semrush US原词估算	Semrush US 单词数据	S0370	piano_keyword_research_combined.xlsx｜关键词数据!A375:G375	b chord on piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0444	c major chord progressions	590	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P174	c major chord progressions	页面代表词	chord_progressions	chord_progressions	查和弦走向	c-major	21	0	I	Semrush US原词估算	Semrush US 单词数据	S0372	piano_keyword_research_combined.xlsx｜关键词数据!A377:G377	c major chord progressions		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	C大调和弦走向；必须在该页提供实际结果，不只增加一个关键词。
K0447	chord patterns piano	590	保留	/chord-progressions	U087	后做	有规划URL	URL主词的原同义词	P173	piano chord progressions	同义词合并	chord_progressions	chord_progressions	查和弦走向		23	1.55	I	Semrush US原词估算	Semrush US 单词数据	S0373	piano_keyword_research_combined.xlsx｜关键词数据!A378:G378	chord patterns piano		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	按页面准备顺序验收	T10	常见走向列表；C/E/A调转写选择；优美/愉快效果标签；含义与使用说明；打印
K0448	chords in a key	590	保留	/chords/by-key	U085	后做	有规划URL	URL主词的原同义词	P152	chords of key	同义词合并	chords	chords	查调内和弦		15	0	I	Semrush US原词估算	Semrush US 单词数据	S0374	piano_keyword_research_combined.xlsx｜关键词数据!A379:G379	chords in a key		同一对象与同一交付任务；人工词义归并	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	按页面准备顺序验收	T08	有内容的调性选择器与各级和弦表；支持已有G/D/C/E/A/F及D minor任务
K0450	common chord progressions key of e	590	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P175	common chord progressions key of e	页面代表词	chord_progressions	chord_progressions	查和弦走向	e-major	14	0	I	Semrush US原词估算	Semrush US 单词数据	S0375	piano_keyword_research_combined.xlsx｜关键词数据!A380:G380	common chord progressions key of e		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	E调常用和弦走向；必须在该页提供实际结果，不只增加一个关键词。
K0470	famous chord progressions	590	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P172	common chord progressions	同义词合并	chord_progressions	chord_progressions	查和弦走向	common	31	0.19	I	Semrush US原词估算	Semrush US 单词数据	S0376	piano_keyword_research_combined.xlsx｜关键词数据!A381:G381	famous chord progressions		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	常见和弦走向集合；必须在该页提供实际结果，不只增加一个关键词。
K0491	key of g piano chords	590	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P156	chords in g major scale piano	同义词合并	chords	chords	查调内和弦	g-major	22	0	I	Semrush US原词估算	Semrush US 单词数据	S0656	piano_keyword_research_combined.xlsx｜关键词数据!A661:G661	key of g piano chords		同义表达；保留全部来源	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查G大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K0493	keyboard chords	590	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		29	2.19	I	Semrush US原词估算	Semrush US 单词数据	S0378	piano_keyword_research_combined.xlsx｜关键词数据!A383:G383	keyboard chords		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K0521	piano chords in a	590	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P161	piano chords in a	页面代表词	chords	chords	查调内和弦	a-major	23	0.58	I	Semrush US原词估算	Semrush US 单词数据	S0383	piano_keyword_research_combined.xlsx｜关键词数据!A388:G388	piano chords in a		同一对象与同一交付任务；人工词义归并	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查询A大调和弦集合；必须在该页提供实际结果，不只增加一个关键词。
K0523	piano e chord	590	保留	/chords/e-major	U080	后做	有规划URL	URL主关键词	P162	piano e chord	页面代表词	chords	chords	查和弦键位		12	0.86	I	Semrush US原词估算	Semrush US 单词数据	S0384	piano_keyword_research_combined.xlsx｜关键词数据!A389:G389	piano e chord		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0567	ab chord on piano	480	保留	/chords/a-flat-major	U079	后做	有规划URL	URL主词的原同义词	P155	a flat chord piano	同义词合并	chords	chords	查和弦键位		14	0	I	Semrush US原词估算	Semrush US 单词数据	S0388	piano_keyword_research_combined.xlsx｜关键词数据!A393:G393	ab chord on piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0575	b chord on the piano	480	保留	/chords/b-major	U077	后做	有规划URL	URL主词的原同义词	P150	b chord piano	同义词合并	chords	chords	查和弦键位		16	0	I	Semrush US原词估算	Semrush US 单词数据	S0391	piano_keyword_research_combined.xlsx｜关键词数据!A396:G396	b chord on the piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0578	b major piano chord	480	保留	/chords/b-major	U077	后做	有规划URL	URL主词的原同义词	P150	b chord piano	同义词合并	chords	chords	查和弦键位		14	0	I	Semrush US原词估算	Semrush US 单词数据	S0392	piano_keyword_research_combined.xlsx｜关键词数据!A397:G397	b major piano chord		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0584	c chords piano	480	保留	/chords/c-major	U081	先做	有规划URL	URL主关键词	P163	c chords piano	页面代表词	chords	chords	查和弦键位		15	1.04	I	Semrush US原词估算	Semrush US 单词数据	S0395	piano_keyword_research_combined.xlsx｜关键词数据!A400:G400	c chords piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0585	c major scale piano chords	480	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P159	c major scale chords piano	同义词合并	chords	chords	查调内和弦	c-major	19	1.09	I	Semrush US原词估算	Semrush US 单词数据	S0160	piano_keyword_research_combined.xlsx｜关键词数据!A165:G165	c major scale piano chords		同一对象与同一交付任务；人工词义归并	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查C大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K0586	chord structure piano	480	保留	/guide/piano-chords	U117	后做	有规划URL	同页其他任务/查询；原归并关系另存	P220	how to play chords on piano	同页补充/条件/问题（非同义）	guide	guide	学习弹奏步骤		29	1.55	I	Semrush US原词估算	Semrush US 单词数据	S0397	piano_keyword_research_combined.xlsx｜关键词数据!A402:G402	chord structure piano		可由同一任务页的说明/FAQ覆盖；不是同义词	基础和弦选学与连接动作按学习顺序合页；和弦表本身归/chords，不做重复的第二字典	按页面准备顺序验收	T22	步骤、构成、指法示意及连接练习；链接查图工具
K0587	chords in key of a	480	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P161	piano chords in a	同页补充/条件/问题（非同义）	chords	chords	查调内和弦	a-major	16	2.38	I	Semrush US原词估算	Semrush US 单词数据	S0398	piano_keyword_research_combined.xlsx｜关键词数据!A403:G403	chords in key of a		共享乐理可由本任务内容覆盖；非同义，不使用其量替代钢琴代表词量	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查询A大调和弦集合；必须在该页提供实际结果，不只增加一个关键词。
K0592	cool chord progressions	480	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P177	beautiful chord progressions piano	同页补充/条件/问题（非同义）	chord_progressions	chord_progressions	查和弦走向	beautiful	11	0.86	I	Semrush US原词估算	Semrush US 单词数据	S0400	piano_keyword_research_combined.xlsx｜关键词数据!A405:G405	cool chord progressions		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	查询优美钢琴和弦走向；必须在该页提供实际结果，不只增加一个关键词。
K0598	e major scale chords piano	480	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P160	piano chords in e	同义词合并	chords	chords	查调内和弦	e-major	15	0	I	Semrush US原词估算	Semrush US 单词数据	S0165	piano_keyword_research_combined.xlsx｜关键词数据!A170:G170	e major scale chords piano		同一对象与同一交付任务；人工词义归并	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查E大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K0627	key of f chords piano	480	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P164	key of f chords piano	页面代表词	chords	chords	查调内和弦	f-major	16	0	I	Semrush US原词估算	Semrush US 单词数据	S0707	piano_keyword_research_combined.xlsx｜关键词数据!A712:G712	key of f chords piano		同义表达；保留全部来源	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查F大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K0628	key of g chords piano	480	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P156	chords in g major scale piano	同义词合并	chords	chords	查调内和弦	g-major	22	0	I	Semrush US原词估算	Semrush US 单词数据	S0708	piano_keyword_research_combined.xlsx｜关键词数据!A713:G713	key of g chords piano		同义表达；保留全部来源	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查G大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K0657	piano chord cheat sheet	480	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		19	0.87	I	Semrush US原词估算	Semrush US 单词数据; Semrush Strategy Builder 页面建议	S0404; S1752; S1941	piano_keyword_research_combined.xlsx｜关键词数据!A409:G409; 关键词策略构建器数据汇总.md｜L79｜piano chord chart > piano chord chart; 关键词策略构建器数据汇总.md｜L465｜piano scales > piano chords and progressions	piano chord cheat sheet		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K0658	piano chord diagram	480	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		29	1.42	I	Semrush US原词估算	Semrush US 单词数据	S0405	piano_keyword_research_combined.xlsx｜关键词数据!A410:G410	piano chord diagram		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K0661	piano finger chart	480	保留	/keyboard-notes/finger-numbers	U071	后做	有规划URL	URL主词的原同义词	P126	piano fingering chart	同义词合并	keyboard_notes	keyboard_notes	查手指编号		8	2.1	I	Semrush US原词估算	Semrush US 单词数据	S0182	piano_keyword_research_combined.xlsx｜关键词数据!A187:G187	piano finger chart		同一对象与同一交付任务；人工词义归并	手指编号与键盘数字、具体音阶指法分开说明，不靠同一个numbers词强合	按页面准备顺序验收	T20	左右手编号图；基础使用说明；链接到具体和弦/音阶指法
K0664	piano keyboard chords for beginners	480	保留	/guide/piano-chords	U117	后做	有规划URL	同页其他任务/查询；原归并关系另存	P225	basic piano chords	同义词合并	guide	guide	学习弹奏步骤	beginner	27	2.08	I	Semrush US原词估算	Semrush US 单词数据	S0406	piano_keyword_research_combined.xlsx｜关键词数据!A411:G411	piano keyboard chords for beginners		同一对象与同一交付任务；人工词义归并	基础和弦选学与连接动作按学习顺序合页；和弦表本身归/chords，不做重复的第二字典	后续同页补齐	T22	初学钢琴基础和弦选择与弹法；必须在该页提供实际结果，不只增加一个关键词。
K0668	piano major chords	480	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P158	major chords piano	同义词合并	chords	chords	查和弦键位	major	22	1.17	I	Semrush US原词估算	Semrush US 单词数据	S0407	piano_keyword_research_combined.xlsx｜关键词数据!A412:G412	piano major chords		同义表达；保留全部来源	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	major 选择后显示经过核对的实际和弦结果。
K0671	piano playing by chords	480	保留	/guide/piano-chords	U117	后做	有规划URL	URL主词的原同义词	P220	how to play chords on piano	同义词合并	guide	guide	学习弹奏步骤		29	1.45	I	Semrush US原词估算	Semrush US 单词数据	S0408	piano_keyword_research_combined.xlsx｜关键词数据!A413:G413	piano playing by chords		同一对象与同一交付任务；人工词义归并	基础和弦选学与连接动作按学习顺序合页；和弦表本身归/chords，不做重复的第二字典	按页面准备顺序验收	T22	步骤、构成、指法示意及连接练习；链接查图工具
K0705	a flat chords piano	390	保留	/chords/a-flat-major	U079	后做	有规划URL	URL主词的原同义词	P155	a flat chord piano	同义词合并	chords	chords	查和弦键位		18	0	I	Semrush US原词估算	Semrush US 单词数据	S0410	piano_keyword_research_combined.xlsx｜关键词数据!A415:G415	a flat chords piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0706	a major chord progression	390	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P176	a major chord progression	页面代表词	chord_progressions	chord_progressions	查和弦走向	a-major	15	0	I	Semrush US原词估算	Semrush US 单词数据	S0411	piano_keyword_research_combined.xlsx｜关键词数据!A416:G416	a major chord progression		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	A大调和弦走向；必须在该页提供实际结果，不只增加一个关键词。
K0708	a minor chord on piano	390	保留	/chords/a-minor	U078	先做	有规划URL	URL主词的原同义词	P151	am piano chord	同义词合并	chords	chords	查和弦键位		7	0	I	Semrush US原词估算	Semrush US 单词数据	S0412	piano_keyword_research_combined.xlsx｜关键词数据!A417:G417	a minor chord on piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0709	a minor chords piano	390	保留	/chords/a-minor	U078	先做	有规划URL	URL主词的原同义词	P151	am piano chord	同义词合并	chords	chords	查和弦键位		11	0	I	Semrush US原词估算	Semrush US 单词数据	S0413	piano_keyword_research_combined.xlsx｜关键词数据!A418:G418	a minor chords piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0711	all chords piano	390	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		29	3.07	I	Semrush US原词估算	Semrush US 单词数据	S0414	piano_keyword_research_combined.xlsx｜关键词数据!A419:G419	all chords piano		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K0714	am chord on piano	390	保留	/chords/a-minor	U078	先做	有规划URL	URL主词的原同义词	P151	am piano chord	同义词合并	chords	chords	查和弦键位		17	0	I	Semrush US原词估算	Semrush US 单词数据	S0416	piano_keyword_research_combined.xlsx｜关键词数据!A421:G421	am chord on piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0716	beautiful chord progressions	390	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P177	beautiful chord progressions piano	同页补充/条件/问题（非同义）	chord_progressions	chord_progressions	查和弦走向	beautiful	31	0	I	Semrush US原词估算	Semrush US 单词数据	S0417	piano_keyword_research_combined.xlsx｜关键词数据!A422:G422	beautiful chord progressions		共享乐理可由本任务内容覆盖；非同义，不使用其量替代钢琴代表词量	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	查询优美钢琴和弦走向；必须在该页提供实际结果，不只增加一个关键词。
K0728	chord cheat sheet piano	390	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		15	0.87	I	Semrush US原词估算	Semrush US 单词数据	S0419	piano_keyword_research_combined.xlsx｜关键词数据!A424:G424	chord cheat sheet piano		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K0729	chord namer piano	390	保留	/chords/finder	U086	后做	有规划URL	URL主词的原同义词	P153	chord finder piano	同义词合并	chords	chords	识别和弦		19	0	I	Semrush US原词估算	Semrush US 单词数据	S0420	piano_keyword_research_combined.xlsx｜关键词数据!A425:G425	chord namer piano		同一对象与同一交付任务；人工词义归并	输入音符求名称与已知和弦查图的输入输出不同，保留独立工具页	按页面准备顺序验收	T09	选择音符；列出可能命名、低音与拼写说明
K0730	chord sheet piano	390	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		18	1.42	I	Semrush US原词估算	Semrush US 单词数据	S0421	piano_keyword_research_combined.xlsx｜关键词数据!A426:G426	chord sheet piano		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K0731	chords in the a major scale	390	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P161	piano chords in a	同页补充/条件/问题（非同义）	chords	chords	查调内和弦	a-major	15	0	I	Semrush US原词估算	Semrush US 单词数据	S0199	piano_keyword_research_combined.xlsx｜关键词数据!A204:G204	chords in the a major scale		共享乐理可由本任务内容覆盖；非同义，不使用其量替代钢琴代表词量	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查询A大调和弦集合；必须在该页提供实际结果，不只增加一个关键词。
K0732	chords piano chart	390	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		26	1.42	I	Semrush US原词估算	Semrush US 单词数据	S0422	piano_keyword_research_combined.xlsx｜关键词数据!A427:G427	chords piano chart		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K0756	f major scale chords piano	390	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P164	key of f chords piano	同义词合并	chords	chords	查调内和弦	f-major	23	0	I	Semrush US原词估算	Semrush US 单词数据	S0208	piano_keyword_research_combined.xlsx｜关键词数据!A213:G213	f major scale chords piano		同一对象与同一交付任务；人工词义归并	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查F大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K0785	key chord chart	390	保留	/chords/by-key	U085	后做	有规划URL	URL主词的原同义词	P152	chords of key	同义词合并	chords	chords	查调内和弦		19	0	I	Semrush US原词估算	Semrush US 单词数据	S0425	piano_keyword_research_combined.xlsx｜关键词数据!A430:G430	key chord chart		同一对象与同一交付任务；人工词义归并	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	按页面准备顺序验收	T08	有内容的调性选择器与各级和弦表；支持已有G/D/C/E/A/F及D minor任务
K0786	key of f piano chords	390	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P164	key of f chords piano	同义词合并	chords	chords	查调内和弦	f-major	8	0	I	Semrush US原词估算	Semrush US 单词数据	S0766	piano_keyword_research_combined.xlsx｜关键词数据!A771:G771	key of f piano chords		同义表达；保留全部来源	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查F大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K0801	major piano chords	390	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P158	major chords piano	同义词合并	chords	chords	查和弦键位	major	18	1.17	I	Semrush US原词估算	Semrush US 单词数据	S0427	piano_keyword_research_combined.xlsx｜关键词数据!A432:G432	major piano chords		同义表达；保留全部来源	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	major 选择后显示经过核对的实际和弦结果。
K0806	minor piano chords	390	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P154	minor chords piano	同义词合并	chords	chords	查和弦键位	minor	15	0	I	Semrush US原词估算	Semrush US 单词数据	S0428	piano_keyword_research_combined.xlsx｜关键词数据!A433:G433	minor piano chords		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	后续同页补齐	T06	minor 选择后显示经过核对的实际和弦结果。
K0823	piano a flat chord	390	保留	/chords/a-flat-major	U079	后做	有规划URL	URL主词的原同义词	P155	a flat chord piano	同义词合并	chords	chords	查和弦键位		19	0	I	Semrush US原词估算	Semrush US 单词数据	S0430	piano_keyword_research_combined.xlsx｜关键词数据!A435:G435	piano a flat chord		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0825	piano basic chords	390	保留	/guide/piano-chords	U117	后做	有规划URL	同页其他任务/查询；原归并关系另存	P225	basic piano chords	同义词合并	guide	guide	学习弹奏步骤	beginner	30	3.27	I	Semrush US原词估算	Semrush US 单词数据	S0431	piano_keyword_research_combined.xlsx｜关键词数据!A436:G436	piano basic chords		同一对象与同一交付任务；人工词义归并	基础和弦选学与连接动作按学习顺序合页；和弦表本身归/chords，不做重复的第二字典	后续同页补齐	T22	初学钢琴基础和弦选择与弹法；必须在该页提供实际结果，不只增加一个关键词。
